0, 150, 
0, 151, 
0, 150, 
0, 151, 
0, 150, 
0, 149, 
0, 150, 
0, 149, 
0, 148, 
0, 149, 
0, 150, 
0, 151, 
0, 150, 
0, 149, 
0, 150, 
0, 149, 
0, 150, 
0, 151, 
0, 152, 
0, 153, 
0, 154, 
0, 153, 
0, 154, 
0, 153, 
0, 152, 
0, 153, 
0, 154, 
0, 153, 
0, 154, 
0, 155, 
0, 156, 
0, 155, 
0, 154, 
0, 155, 
0, 154, 
0, 153, 
0, 152, 
0, 153, 
0, 152, 
0, 153, 
0, 154, 
0, 155, 
0, 154, 
0, 155, 
0, 156, 
0, 155, 
0, 154, 
0, 155, 
0, 156, 
0, 155, 
0, 154, 
0, 155, 
0, 156, 
0, 155, 
0, 154, 
0, 153, 
0, 152, 
0, 151, 
0, 150, 
0, 151, 
0, 150, 
0, 149, 
0, 150, 
0, 149, 
0, 148, 
0, 149, 
0, 148, 
0, 149, 
0, 150, 
0, 151, 
0, 152, 
0, 151, 
0, 150, 
0, 151, 
0, 150, 
0, 151, 
0, 150, 
0, 149, 
0, 148, 
0, 149, 
0, 150, 
0, 149, 
0, 150, 
0, 151, 
0, 150, 
0, 151, 
0, 150, 
0, 151, 
0, 152, 
0, 151, 
0, 150, 
0, 149, 
0, 148, 
0, 149, 
0, 150, 
0, 149, 
0, 150, 
0, 149, 
0, 150, 
0, 149, 
0, 150, 
0, 149, 
0, 148, 
0, 149, 
0, 150, 
0, 149, 
0, 150, 
0, 151, 
0, 150, 
0, 151, 
0, 150, 
0, 149, 
0, 148, 
0, 147, 
0, 146, 
0, 145, 
0, 144, 
0, 143, 
0, 142, 
0, 141, 
0, 140, 
0, 139, 
0, 140, 
0, 141, 
0, 142, 
0, 141, 
0, 140, 
0, 141, 
0, 142, 
0, 141, 
0, 142, 
0, 141, 
0, 142, 
0, 141, 
0, 140, 
0, 141, 
0, 142, 
0, 143, 
0, 144, 
0, 145, 
0, 144, 
0, 145, 
0, 146, 
0, 147, 
0, 148, 
0, 149, 
0, 148, 
0, 147, 
0, 146, 
0, 147, 
0, 148, 
0, 147, 
0, 146, 
0, 147, 
0, 146, 
0, 147, 
0, 148, 
0, 149, 
0, 148, 
0, 149, 
0, 150, 
0, 151, 
0, 152, 
0, 153, 
0, 154, 
0, 155, 
0, 156, 
0, 157, 
0, 156, 
0, 157, 
0, 156, 
0, 157, 
0, 158, 
0, 159, 
0, 160, 
0, 159, 
0, 160, 
0, 159, 
0, 158, 
0, 157, 
0, 156, 
0, 155, 
0, 156, 
0, 155, 
0, 154, 
0, 153, 
0, 154, 
0, 153, 
0, 152, 
0, 151, 
0, 152, 
0, 151, 
0, 152, 
0, 153, 
0, 154, 
0, 153, 
0, 152, 
0, 153, 
0, 154, 
0, 155, 
0, 156, 
0, 155, 
0, 156, 
0, 157, 
0, 158, 
0, 157, 
0, 158, 
0, 159, 
0, 160, 
0, 161, 
0, 162, 
0, 163, 
0, 164, 
0, 165, 
0, 166, 
0, 165, 
0, 166, 
0, 165, 
0, 164, 
0, 165, 
0, 166, 
0, 165, 
0, 164, 
0, 165, 
0, 166, 
0, 165, 
0, 164, 
0, 165, 
0, 166, 
0, 167, 
0, 168, 
0, 167, 
0, 166, 
0, 165, 
0, 166, 
0, 167, 
0, 168, 
0, 169, 
0, 168, 
0, 169, 
0, 168, 
0, 167, 
0, 166, 
0, 165, 
0, 166, 
0, 167, 
0, 168, 
0, 169, 
0, 168, 
0, 167, 
0, 168, 
0, 167, 
0, 168, 
0, 167, 
0, 168, 
0, 167, 
0, 166, 
0, 165, 
0, 164, 
0, 165, 
0, 166, 
0, 167, 
0, 168, 
0, 167, 
0, 166, 
0, 165, 
0, 164, 
0, 163, 
0, 162, 
0, 163, 
0, 164, 
0, 165, 
0, 166, 
0, 167, 
0, 166, 
0, 167, 
0, 166, 
0, 165, 
0, 164, 
0, 163, 
0, 164, 
0, 165, 
0, 164, 
0, 165, 
0, 166, 
0, 167, 
0, 168, 
0, 167, 
0, 166, 
0, 165, 
0, 164, 
0, 165, 
0, 166, 
0, 165, 
0, 164, 
0, 163, 
0, 164, 
0, 165, 
0, 164, 
0, 165, 
0, 166, 
0, 165, 
0, 166, 
0, 165, 
0, 166, 
0, 165, 
0, 164, 
0, 165, 
0, 166, 
0, 165, 
0, 166, 
0, 167, 
0, 168, 
0, 167, 
0, 168, 
0, 167, 
0, 166, 
0, 167, 
0, 166, 
0, 165, 
0, 166, 
0, 167, 
0, 166, 
0, 167, 
0, 166, 
0, 165, 
0, 166, 
0, 167, 
0, 168, 
0, 169, 
0, 170, 
0, 171, 
0, 172, 
0, 173, 
0, 174, 
0, 175, 
0, 176, 
0, 175, 
0, 176, 
0, 175, 
0, 176, 
0, 175, 
0, 174, 
0, 175, 
0, 176, 
0, 175, 
0, 174, 
0, 175, 
0, 174, 
0, 173, 
0, 172, 
0, 171, 
0, 170, 
0, 171, 
0, 170, 
0, 171, 
0, 170, 
0, 171, 
0, 170, 
0, 171, 
0, 172, 
0, 173, 
0, 174, 
0, 173, 
0, 172, 
0, 173, 
0, 172, 
0, 173, 
0, 174, 
0, 173, 
0, 174, 
0, 175, 
0, 174, 
0, 175, 
0, 176, 
0, 177, 
0, 178, 
0, 179, 
0, 178, 
0, 177, 
0, 178, 
0, 177, 
0, 178, 
0, 177, 
0, 178, 
0, 179, 
0, 180, 
0, 181, 
0, 182, 
0, 181, 
0, 182, 
0, 181, 
0, 180, 
0, 181, 
0, 182, 
0, 181, 
0, 180, 
0, 179, 
0, 178, 
0, 179, 
0, 178, 
0, 177, 
0, 176, 
0, 175, 
0, 174, 
0, 173, 
0, 172, 
0, 171, 
0, 172, 
0, 173, 
0, 172, 
0, 173, 
0, 172, 
0, 173, 
0, 172, 
0, 171, 
0, 172, 
0, 171, 
0, 170, 
0, 171, 
0, 170, 
0, 171, 
0, 172, 
0, 173, 
0, 174, 
0, 175, 
0, 174, 
0, 173, 
0, 174, 
0, 175, 
0, 174, 
0, 175, 
0, 174, 
0, 175, 
0, 174, 
0, 173, 
0, 174, 
0, 173, 
0, 172, 
0, 171, 
0, 172, 
0, 173, 
0, 174, 
0, 173, 
0, 172, 
0, 173, 
0, 172, 
0, 173, 
0, 172, 
0, 171, 
0, 170, 
0, 169, 
0, 170, 
0, 169, 
0, 168, 
0, 169, 
0, 168, 
0, 169, 
0, 170, 
0, 169, 
0, 168, 
0, 169, 
0, 168, 
0, 167, 
0, 168, 
0, 169, 
0, 168, 
0, 169, 
0, 170, 
0, 171, 
0, 170, 
0, 171, 
0, 172, 
0, 173, 
0, 174, 
0, 173, 
0, 174, 
0, 175, 
0, 174, 
0, 173, 
0, 174, 
0, 175, 
0, 176, 
0, 177, 
0, 178, 
0, 177, 
0, 176, 
0, 177, 
0, 178, 
0, 177, 
0, 178, 
0, 179, 
0, 178, 
0, 179, 
0, 178, 
0, 177, 
0, 176, 
0, 177, 
0, 178, 
0, 177, 
0, 176, 
